vpdmfId	journalTitle	nlmId	abbr	ISSN
9376	Food and drug law journal	9215384	Food Drug Law J	1064-590X
9377	Family practice management	9417533	Fam Pract Manag	1069-5648
9378	Executive solutions for healthcare management	9808647	Exec Solut Healthc Manag	1099-193X
9379	Evaluation review	8004942	Eval Rev	0193-841X
9380	Effective clinical practice : ECP	9815774	Eff Clin Pract	1099-8128
9381	ED management : the monthly update on emergency department management	9425690	ED Manag	1044-9167
9382	Developments in health economics and public policy	9209294	Dev Health Econ Public Policy	0927-4987
9383	Data strategies & benchmarks : the monthly advisory for health care executives	9807026	Data Strateg Benchmarks	1094-253X
9384	Cost & quality quarterly journal : CQ	9602863	Cost Qual Q J	1079-5057
9385	Cornell journal of law and public policy	9892180	Cornell J Law Public Policy	1069-0565
9386	Clinical performance and quality health care	9305935	Clin Perform Qual Health Care	1063-0279
9387	Capitation rates & data	100883481	Capitation Rates Data	1090-1574
9388	Capitation management report	9891256	Capitation Manag Rep	1083-7183
9389	California law review	100883491	Calif Law Rev	0008-1221
9390	Bender's health care law monthly	9603909	Benders Health Care Law Mon	1091-5982
9391	Behavioral healthcare tomorrow	9308264	Behav Healthc Tomorrow	1063-8490
9392	The Baxter health policy review	9616732	Baxter Health Policy Rev	XXXX-XXXX
9393	Balance (Alexandria, Va.)	9716690	Balance	1094-6195
9394	Annals of health law / Loyola University Chicago, School of Law, Institute for Health Law	9306639	Ann Health Law	1075-2994
9395	The American University law review	9891709	Am Univ Law Rev	0003-1453
9396	The American journal of managed care	9613960	Am J Manag Care	1088-0224
9397	The American journal of anesthesiology	9504685	Am J Anesthesiol	1078-4500
9398	Ambulatory outreach	9711806	Ambul Outreach	1094-6829
9399	Albany law review	9892402	Albany Law Rev	0002-4678
9400	Administrative radiology journal : AR	9702245	Adm Radiol J	XXXX-XXXX
9401	Clinic (Paris, France)	100884375	Clinic (Paris)	1254-3136
9402	Cryptogamie. Algologie	100955501	Cryptogam., Algol.	0181-1568
9403	Medizinische Klinik	0376637	Med Klin	0025-8458
9404	The Behavioral and brain sciences	7808666	Behav Brain Sci	0140-525X
9405	Seimei Kagaku Kenkyujo kiyo	100955510	Seimei Kagaku Kenkyujo Kiyo	0288-1578
9406	Acta medica (Hradec Kralove). Supplementum Universitas Carolina, Facultas Medica Hradec Kralove	9815916	Acta Medica (Hradec Kralove) Suppl	1211-247X
9407	Bonner zoologische Beitrage : Herausgeber: Zoologisches Forschungsinstitut und Museum Alexander Koenig, Bonn	100955513	Bonn. Zool. Beitr.	0006-7172
9408	Annales botanici Fennici	100955474	Ann. Bot. Fenn.	0003-3847
9409	Pediatrics international : official journal of the Japan Pediatric Society	100886002	Pediatr Int	1328-8067
9410	BJU international	100886721	BJU Int.	1464-4096
9411	Paleoceanography	100955514	Paleoceanography	0883-8305
9412	Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology	100883319	Clin Neurophysiol	1388-2457
9413	Animal science journal = Nihon chikusan Gakkaiho	100956805	Anim. Sci. J.	1344-3941
9414	International microbiology : the official journal of the Spanish Society for Microbiology	9816585	Int. Microbiol.	1139-6709
9415	Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions	100884139	Catheter Cardiovasc Interv	1522-1946
9416	Endodontic practice	100887863	Endod Prac	1465-9417
9417	Zhongshan da xue xue bao. Zi ran ke xue ban = Acta scientiarum naturalium Universitatis Sunyatseni	100955516	Zhongshan Da Xue Xue Bao Zi Ran Ke Xue Ban	0529-6579
9418	Medical informatics and the Internet in medicine	100883495	Med Inform Internet Med	1463-9238
9419	Journal of Asia-Pacific entomology	100955517	J. Asia Pac. Entomol.	1226-8615
9420	Actas espanolas de psiquiatria	100886502	Actas Esp Psiquiatr	1139-9287
9421	European review for medical and pharmacological sciences	9717360	Eur Rev Med Pharmacol Sci	1128-3602
9422	In silico biology	9815902	In Silico Biol. (Gedrukt)	1386-6338
9423	Fungal diversity	100955518	Fungal Divers.	1560-2745
9424	The Osteopathic hospital	7708992	Osteopath Hosp	0048-2293
9425	Revista chilena de historia natural (Valparaiso, Chile : 1983)	100955519	Rev. Chil. Hist. Nat.	0716-078X
9426	Advances in clinical pathology : the official journal of Adriatic Society of Pathology	9709997	Adv Clin Path	1125-5552
9427	Plant breeding = Zeitschrift fur Pflanzenzuchtung	100955521	Plant Breed.	0179-9541
9428	Zhi wu bao hu xue hui hui kan Plant protection bulletin	100961672	Zhi Wu Bao Hu Xue Hui Hui Kan	0577-750X
9429	Wei sheng yan jiu = Journal of hygiene research	9426367	Wei Sheng Yan Jiu	1000-8020
9430	Rheumatology (Oxford, England)	100883501	Rheumatology (Oxford)	1462-0324
9431	Warsan wichai witthayasat / Khana Witthayasat Chulalongkon Mahawitthayalai = The Journal of scientific research / Faculty of Science, Chulalongkorn University	100955695	J. Sci. Res. Chulalongkorn Univ.	0125-6335
9432	Cells, tissues, organs	100883360	Cells Tissues Organs (Print)	1422-6405
9433	Journal of hazardous materials	9422688	J. Hazard. Mater.	0304-3894
9434	Natura croatica : periodicum Musei Historiae Naturalis Croatici = casopis Hrvatskoga prirodoslovnog muzeja	100954947	Nat. Croat.	1330-0520
9435	The oncologist	9607837	Oncologist	1083-7159
9436	Midwifery today with international midwife	100888783	Midwifery Today Int Midwife	1551-8892
9437	European journal of nutrition	100888704	Eur J Nutr	1436-6207
9438	Tropical agricultural research : proceedings of the ... Annual Congress of the Postgraduate Institute for Agriculture, Peradeniya. University of Peradeniya. Postgraduate Institute of Agriculture. Congress	100955318	Trop. Agric. Res.	1016-1422
9439	Health estate	100888268	Health Estate	XXXX-XXXX
9440	Health Forum journal	100884164	Health Forum J	1527-3547
9441	Cardiology in review	9304686	Cardiol Rev	1061-5377
9442	AIDS patient care and STDs	9607225	AIDS Patient Care STDS	1087-2914
9443	Zhongguo nong ye ke xue = Zhongguo nongye kexue	100955696	Zhongguo Nong Ye Ke Xue	0578-1752
9444	Issue brief (Center for Studying Health System Change)	9806954	Issue Brief Cent Stud Health Syst Change	XXXX-XXXX
9445	Healthy People 2000 statistical notes / National Center for Health Statistics	9315564	Healthy People 2000 Stat Notes	XXXX-XXXX
9446	Behavioral ecology and sociobiology	7608456	Behav. Ecol. Sociobiol. (Print)	0340-5443
9447	Zhongguo ji sheng chong bing fang zhi za zhi = Chinese journal of parasitic disease control	9424729	Zhongguo Ji Sheng Chong Bing Fang Zhi Za Zhi	1001-6627
9448	The journal of adhesive dentistry	100888552	J Adhes Dent	1461-5185
9449	Henan yi ke da xue xue bao = Journal of Henan Medical University = Henan yikedaxue xuebao	9424796	Ho-nan I Ko Ta Hsueh Hsueh Pao	1000-1069
9450	Diabetes/metabolism research and reviews	100883450	Diabetes Metab. Res. Rev.	1520-7552
9451	Journal of aquatic animal health	9884881	J. Aquat. Anim. Health	0899-7659
9452	Zhongguo ren shou gong huan bing za zhi = Chinese journal of zoonoses	9426409	Zhongguo Ren Shou Gong Huan Bing Za Zhi	1002-2694
9453	Strabismus	9310896	Strabismus	0927-3972
9454	Ultrasonics sonochemistry	9433356	Ultrason Sonochem	1350-4177
9455	Plant biology	9882232	Plant Biol.	0894-4563
9456	Crop science	100955697	Crop Sci.	0011-183X
9457	Balkan journal of medical genetics : BJMG	9806959	Balkan J. Med. Genet.	1311-0160
9458	Nature cell biology	100890575	Nat. Cell Biol.	1465-7392
9459	Reviews in medical virology	9112448	Rev. Med. Virol.	1052-9276
9460	Marine biotechnology (New York, N.Y.)	100892712	Mar. Biotechnol.	1436-2228
9461	Journal of oil palm research	100955698	J. Oil Palm Res.	1511-2780
9462	Xu mu shou yi xue bao = Acta veterinaria et zootechnica Sinica / [Zhongguo xu mu shou yi xue hui]	0103004	Xu Mu Shou Yi Xue Bao	0366-6964
9463	New directions for child and adolescent development	100886823	New Dir Child Adolesc Dev	1520-3247
9464	Jun wu xi tong = Mycosystema / Zhongguo ke xue yuan Wei sheng wu yan jiu suo. Zhongguo jun wu xue hui zhu ban	100955700	Jun Wu Xi Tong	1007-3515
9465	Clinical and experimental pathology	100889732	Clin Exp Pathol	1292-7953
9466	Luminescence : the journal of biological and chemical luminescence	100889025	Luminescence	1522-7235
9467	Hoppea	100955701	Hoppea	0340-4196
9468	Acta parasitologica / Witold Stefanski Institute of Parasitology, Warszawa, Poland	9301947	Acta Parasitol.	1230-2821
9469	American journal of audiology	9114917	Am J Audiol	1059-0889
9470	Home care manager	9809996	Home Care Manag	1094-0375
9471	Applied occupational and environmental hygiene	9103256	Appl Occup Environ Hyg	1047-322X
9472	Behavior research methods, instruments, & computers : a journal of the Psychonomic Society, Inc	8413015	Behav Res Methods Instrum Comput	0743-3808
9473	Cardiovascular pathology : the official journal of the Society for Cardiovascular Pathology	9212060	Cardiovasc. Pathol.	1054-8807
9474	Clinical biomechanics (Bristol, Avon)	8611877	Clin Biomech (Bristol, Avon)	0268-0033
9475	Combinatorial chemistry & high throughput screening	9810948	Comb. Chem. High Throughput Screen.	1386-2073
9476	Diabetes, nutrition & metabolism	8813443	Diabetes Nutr. Metab.	0394-3402
9477	Endocrine-related cancer	9436481	Endocr. Relat. Cancer	1351-0088
9478	European journal of paediatric neurology : EJPN : official journal of the European Paediatric Neurology Society	9715169	Eur. J. Paediatr. Neurol.	1090-3798
9479	Genetic testing	9802546	Genet. Test.	1090-6576
9480	Journal of biological inorganic chemistry : JBIC : a publication of the Society of Biological Inorganic Chemistry	9616326	J. Biol. Inorg. Chem.	0949-8257
9481	Nutrition, metabolism, and cardiovascular diseases : NMCD	9111474	Nutr Metab Cardiovasc Dis	0939-4753
9482	Public health nutrition	9808463	Public Health Nutr	1368-9800
9483	Zhi wu bing li xue hui kan = Plant pathology bulletin	100955324	Zhi Wu Bing Li Xue Hui Kan	1021-9544
9484	Memoirs of the Queensland Museum	100955488	Mem. Queensl. Mus.	0079-8835
9485	Antiviral therapy	9815705	Antivir. Ther. (Lond.)	1359-6535
9486	Scandinavian journal of public health	100883503	Scand J Public Health	1403-4948
9487	Russian journal of plant physiology: a comprehensive Russian journal on modern phytophysiology	100955475	Russ. J. Plant Physiol.	1021-4437
9488	The Australian journal of holistic nursing	100886426	Aust J Holist Nurs	1322-8803
9489	Bulletin of the European Association of Fish Pathologists	9883055	Bull. Eur. Assoc. Fish Pathol.	0108-0288
9490	Misaengmul Hakhoe chi (Seoul, Korea : 1997)	9801979	Misaengmul Hakhoe Chi	XXXX-XXXX
9491	Biogeographica : compte-rendu des seances de la Societe de biogeographie	100955702	Biogeographica	1165-6638
9492	Journal of clinical densitometry : the official journal of the International Society for Clinical Densitometry	9808212	J Clin Densitom	1094-6950
9493	Nematropica	100955704	Nematropica	0099-5444
9494	Biologija (Vilnius, Lithuania)	9440260	Biologija (Vilnius)	1392-0146
9495	Biological invasions	100955490	Biol. Invasions	1387-3547
9496	Russian entomological journal = Russkii entomologicheskii zhurnal	100955705	Russ. Entomol. J.	0132-8069
9497	Clinical excellence for nurse practitioners : the international journal of NPACE	9816180	Clin Excell Nurse Pract	1085-2360
9498	Journal of child and family nursing	9892302	J Child Fam Nurs	1098-7134
9499	Mycotaxon	9876348	Mycotaxon	0093-4666
9500	Fitopatologia brasileira	100955706	Fitopatol. Bras.	0100-4158
9501	The international journal of psychiatric nursing research	9508871	Int J Psychiatr Nurs Res	0968-0624
9502	Journal of child health care : for professionals working with children in the hospital and community	9806360	J Child Health Care	1367-4935
9503	Journal de la Societe de biologie	100890617	J. Soc. Biol.	1295-0661
9504	Acta botanica Gallica : bulletin de la Societe botanique de France	100955707	Acta Bot. Gall.	1253-8078
9505	Botanicheskii zhurnal	100955708	Bot. Z.	0006-8136
9506	Manual therapy	9610924	Man Ther	1356-689X
9507	African journal of root and tuber crops	100961705	Afr. J. Root Tuber Crops	1118-2075
9508	Nursing leadership forum	9503422	Nurs Leadersh Forum	1076-1632
9509	Hypertension in pregnancy	9421297	Hypertens Pregnancy	1064-1955
9510	The Canadian journal of clinical pharmacology = Journal canadien de pharmacologie clinique	9804162	Can J Clin Pharmacol	1198-581X
9511	MMW Fortschritte der Medizin	100893959	MMW Fortschr Med	1438-3276
9512	Han-gug yangsig hag-hoeji	100961707	Han-gug Yangsig Hag-hoeji	1226-0193
9513	Mitteilungen der Deutschen Gesellschaft fur Allgemeine und Angewandte Entomologie	100955710	Mitt. Dtsch. Ges. Allg. Angew. Entomol.	0344-9084
9514	Journal of tissue viability	9306822	J Tissue Viability	0965-206X
9515	Genes and immunity	100953417	Genes Immun.	1466-4879
9516	ACC current journal review / American College of Cardiology	9302140	ACC Curr. J. Rev.	1062-1458
9517	Advanced drug delivery reviews	8710523	Adv. Drug Deliv. Rev.	0169-409X
9518	Ambulatory surgery	9431866	Ambul. Surg.	0966-6532
9519	Animal feed science and technology	100955711	Anim. Feed Sci. Technol.	0377-8401
9520	Applied animal behaviour science	8504276	Appl. Anim. Behav. Sci.	0168-1591
9521	Aquatic toxicology (Amsterdam, Netherlands)	8500246	Aquat. Toxicol.	0166-445X
9522	Biochemical education	7507917	Biochem. Educ.	0307-4412
9523	Behavioural processes	7703854	Behav. Processes	0376-6357
9524	Lundellia : journal of the Plant Resources Center of the University of Texas at Austin	100955712	Lundellia (Austin, Tex.)	1097-993X
9525	Animal genetics. Supplement	100955713	Anim. Genet. Suppl.	0268-9154
9526	Cardiovascular radiation medicine	100888865	Cardiovasc. Radiat. Med.	1522-1865
9527	Clinical eye and vision care	8913422	Clin. Eye Vis. Care	0953-4431
9528	Clinical positron imaging : official journal of the Institute for Clinical P.E.T	9810966	Clin. Positron Imaging	1095-0397
9529	The International journal on drug policy	9014759	Int. J. Drug Policy	0955-3959
9530	Environmental and experimental botany	7610775	Environ. Exp. Bot.	0098-8472
9531	European journal of internal medicine	9003220	Eur. J. Intern. Med.	0953-6205
9532	Environmental microbiology	100883692	Environ. Microbiol.	1462-2912
9533	Journal of women's health & gender-based medicine	100888719	J Womens Health Gend Based Med	1524-6094
9534	Journal of neurologic rehabilitation	8804109	Neurorehabil. Neural Repair	0888-4390
9535	International journal of systematic and evolutionary microbiology	100899600	Int. J. Syst. Evol. Microbiol.	1466-5026
9536	Evolution and human behavior : official journal of the Human Behavior and Evolution Society	9709475	Evol. Hum. Behav.	1090-5138
9537	Environmental toxicology and pharmacology	9612020	Environ. Toxicol. Pharmacol.	1382-6689
9538	Fitoterapia	16930290R	Fitoterapia	0367-326X
9539	European journal of heart failure	100887595	Eur. J. Heart Fail.	1388-9842
9540	Hepatology research : the official journal of the Japan Society of Hepatology	9711801	Hepatol. Res.	1386-6346
9541	International contact lens clinic (New York, N.Y.)	8805638	Int. Contact Lens Clin.	0892-8967
9542	Integrative medicine : integrating conventional and alternative medicine	9810962	Integr. Med.	1096-2190
9543	Journal of experimental marine biology and ecology	9879543	J. Exp. Mar. Biol. Ecol.	0022-0981
9544	The Journal of nutritional biochemistry	9010081	J. Nutr. Biochem.	0955-2863
9545	Pathophysiology : the official journal of the International Society for Pathophysiology / ISP	9433813	Pathophysiology	0928-4680
9546	Primary care update for Ob/Gyns	9431228	Prim. Care Update Ob Gyns	1068-607X
9547	Progress in pediatric cardiology	9209539	Prog. Pediatr. Cardiol.	1058-9813
9548	Process biochemistry (Barking, London, England)	9211419	Process Biochem	1359-5113
9549	Parkinsonism & related disorders	9513583	Parkinsonism Relat. Disord.	1353-8020
9550	Small ruminant research : the journal of the International Goat Association	9885624	Small Rumin. Res.	0921-4488
9551	Journal of stored products research	0144220	J Stored Prod Res	0022-474X
9552	Journal of thermal biology	7600115	J. Therm. Biol.	0306-4565
9553	The Knee	9430798	Knee	0968-0160
9554	Toxicology in vitro : an international journal published in association with BIBRA	8712158	Toxicol In Vitro	0887-2333
9555	Urologic oncology	9805460	Urol. Oncol.	1078-1439
9556	Proceedings / International Coral Reef Symposium. International Coral Reef Symposium	100955715	Proc. - Int. Coral Reef Symp.	0272-2615
9557	The Astronomical journal	100955716	Astron. J. (N. Y.)	0004-6256
9558	The Astrophysical journal	9890633	Astrophys. J.	0004-637X
9559	The Astrophysical journal. Supplement series	100955717	Astrophys. J., Suppl. Ser.	0067-0049
9560	The Journal of geology	100955718	J. Geol.	0022-1376
9561	Current anthropology	0421035	Curr. Anthropol.	0011-3204
9562	The Journal of consumer research	100955720	J. Consum. Res.	0093-5301
9563	The Journal of modern history	100955721	J Mod Hist	0022-2801
9564	Journal of biogeography	0432556	J. Biogeogr.	0305-0270
9565	Ornitologia neotropical	100955722	Ornitol. Neotrop.	1075-4377
9566	Bulletin of Osaka Prefecture University. Series B, Agriculture and life sciences	100955723	Bull. Osaka Prefect. Univ., Ser. B Agric. Life Sci.	1342-3266
9567	Japanese journal of infectious diseases	100893704	Jpn. J. Infect. Dis.	1344-6304
9568	Invertebrate biology : a quarterly journal of the American Microscopical Society and the Division of Invertebrate Zoology/ASZ	9514900	Invertebr. Biol.	1077-8306
9569	Evidence report/technology assessment (Summary)	100890218	Evid Rep Technol Assess (Summ)	1530-440X
9570	Acta botanica venezuelica	100954952	Acta Bot. Venez.	0084-5906
9571	Sao Paulo medical journal = Revista paulista de medicina	100897261	Sao Paulo Med J	1516-3180
9572	Zeitschrift fur Pflanzenkrankheiten und Pflanzenschutz	9882795	Z. Pflanzenkr. Pflanzenschutz	0340-8159
9573	Apidologie	100955724	Apidologie (Celle)	0044-8435
9574	Systematics and geography of plants	100955725	Syst. Geogr. Plants	1374-7886
9575	Cloning	100883430	Cloning	1520-4553
9576	Diabetes technology & therapeutics	100889084	Diabetes Technol. Ther.	1520-9156
9577	Contributions to microbiology	9815689	Contrib Microbiol	1420-9519
9578	Weeds world : the international electronic arabidopsis newsletter	100955812	Weeds World	1358-6912
9579	WMJ : official publication of the State Medical Society of Wisconsin	9716054	WMJ	1098-1861
9580	International journal of occupational safety and ergonomics : JOSE	9507598	Int J Occup Saf Ergon	1080-3548
9581	Clinical cornerstone	9816002	Clin Cornerstone	1098-3597
9582	The Clinical neuropsychologist	8806548	Clin Neuropsychol	1385-4046
9583	Drugs in R&D	100883647	Drugs R D	1174-5886
9584	Eating and weight disorders : EWD	9707113	Eat Weight Disord	1124-4909
9585	The international tinnitus journal	9612993	Int Tinnitus J	0946-5448
9586	Home healthcare nurse manager	100884165	Home Healthc Nurse Manag	1520-5657
9587	Journal of epidemiology and biostatistics	9611181	J Epidemiol Biostat	1359-5229
9588	Maternal and child health journal	9715672	Matern Child Health J	1092-7875
9589	Methods in cell science : an official journal of the Society for In Vitro Biology	9515839	Methods Cell Sci	1381-5741
9590	Psychonomic bulletin & review	9502924	Psychon Bull Rev	1069-9384
9591	Sheng wu gong cheng xue bao = Chinese journal of biotechnology	9426463	Sheng Wu Gong Cheng Xue Bao	1000-3061
9592	Systematic parasitology	8111384	Syst. Parasitol.	0165-5752
9593	Journal of molecular modeling	9806569	J Mol Model	1610-2940
9594	Zhongguo sheng hua yao wu za zhi	100961708	Zhongguo Sheng Hua Yao Wu Za Zhi	1005-1678
9595	European psychiatry : the journal of the Association of European Psychiatrists	9111820	Eur. Psychiatry	0924-9338
9596	Plant biosystems	100955491	Plant Biosyst.	1126-3504
9597	JBR-BTR : organe de la Societe royale belge de radiologie (SRBR) = orgaan van de Koninklijke Belgische Vereniging voor Radiologie (KBVR)	100888280	JBR-BTR	0302-7430
9598	Acta microbiologica Sinica	7602324	Acta Microbiol. Sin.	0098-9150
9599	The Chinese journal of dental research : the official journal of the Scientific Section of the Chinese Stomatological Association (CSA)	100892845	Chin J Dent Res	1462-6446
9600	Nihon Hosenkin Gakkai shi = Actinomycetologica	8813973	Nippon Hosenkin Gakkaishi	0914-5818
9601	Zeitschrift fur Lebensmittel-Untersuchung und -Forschung. A, Food research and technology	9891017	Z. Lebensm.-Unters. -Forsch., A Food Res. Technol. (Print)	XXXX-XXXX
9602	BioWorld : the business of biotechnology	9425599	BioWorld	XXXX-XXXX
9603	Bailliere's best practice & research. Clinical rheumatology	100883496	Baillieres Best Pract Res Clin Rheumatol	XXXX-XXXX
9604	Seton Hall law review	100892382	Seton Hall Law Rev	0586-5964
9605	State legislatures	100890177	State Legis	0147-6041
9606	Journal of health law	100883816	J Health Law	1526-2472
9607	Health law journal	9804242	Health Law J	1192-8336
9608	Clinical privilege white paper	100892390	Clin Privil White Pap	XXXX-XXXX
9609	Professional development series (Chicago, Ill.)	100891567	Prof Dev Ser (Chic Ill)	XXXX-XXXX
9610	Hospitals & health networks 360 degrees : H&HN 360 degrees	100892665	Hosp Health Netw 360	XXXX-XXXX
9611	Genesis (New York, N.Y. : 2000)	100931242	Genesis	1526-954X
9612	Journal of biochemistry and molecular biology	9702084	J. Biochem. Mol. Biol.	1225-8687
9613	Microbes and infection / Institut Pasteur	100883508	Microbes Infect.	1286-4579
9614	Turkish journal of biology = Turk biyoloji dergisi / the Scientific and Technical Research Council of Turkey	9434434	Turk. J. Biol.	1300-0152
9615	Surgical laparoscopy, endoscopy & percutaneous techniques	100888751	Surg Laparosc Endosc Percutan Tech	1530-4515
9616	Fiziolohichnyi zhurnal (Kiev, Ukraine : 1994)	9601541	Fiziol Zh	XXXX-XXXX
9617	Bailliere's best practice & research. Clinical gastroenterology	100894206	Baillieres Best Pract Res Clin Gastroenterol	XXXX-XXXX
9618	International journal of acarology	100955727	Int. J. Acarology	0164-7954
9619	The Journal of horticultural science	100955347	J. Hortic. Sci.	0022-1589
9620	South African journal of botany : official journal of the South African Association of Botanists = Suid-Afrikaanse tydskrif vir plantkunde : amptelike tydskrif van die Suid-Afrikaanse Genootskap van Plantkundiges	100955699	S. Afr. J. Bot.	0254-6299
9621	Journal of hematotherapy & stem cell research	100892915	J. Hematother. Stem Cell Res.	1525-8165
9622	Alberta RN / Alberta Association of Registered Nurses	100883278	Alta RN	1481-9988
9623	The Great Basin naturalist	100955308	Great Basin Nat.	0017-3614
9624	Healthy People 2000 statistics and surveillance / National Center for Health Statistics	9315565	Healthy People 2000 Stat Surveill	XXXX-XXXX
9625	Fishes of Sahul : journal of the Australia New Guinea Fishes Association	100961674	Fish. Sahul	0813-3778
9626	Fagopyrum : novosti o ajdi = buckwheat newsletter	100955305	Fagopyrum	0352-3020
9627	Biotecnologia aplicada : revista de la Sociedad Iberolatinoamericana para Investigaciones sobre Interferon y Biotecnologia en Salud	9203706	Biotecnol. Apl.	0864-4551
9628	Liver transplantation : official publication of the American Association for the Study of Liver Diseases and the International Liver Transplantation Society	100909185	Liver Transpl.	1527-6465
9629	Cryptogamie. Mycologie	100961513	Cryptogam., Mycol.	0181-1584
9630	Evolution & development	100883432	Evol. Dev.	1520-541X
9631	IUBMB life	100888706	IUBMB Life	1521-6543
9632	Boletim de biotecnologia	100961675	Bol. Biotecnol.	0103-6548
9633	Zhongguo shen jing ke xue za zhi = Chinese journal of neuroscience	100963442	Chin. J. Neurosci.	1008-0872
9634	Applied soil ecology : a section of Agriculture, Ecosystems & Environment	100961515	Agric., Ecosyst. Environ., Appl. Soil Ecol.	0929-1393
9635	Care management journals : Journal of case management ; The journal of long term home health care	100888264	Care Manag J	1521-0987
9636	American journal of physiology. Heart and circulatory physiology	100901228	Am. J. Physiol. Heart Circ. Physiol.	0363-6135
9637	American journal of physiology. Regulatory, integrative and comparative physiology	100901230	Am. J. Physiol. Regul. Integr. Comp. Physiol.	0363-6119
9638	American journal of physiology. Gastrointestinal and liver physiology	100901227	Am. J. Physiol. Gastrointest. Liver Physiol.	0193-1857
9639	American journal of physiology. Endocrinology and metabolism	100901226	Am. J. Physiol. Endocrinol. Metab.	0193-1849
9640	American journal of physiology. Cell physiology	100901225	Am. J. Physiol., Cell Physiol.	0363-6143
9641	American journal of physiology. Lung cellular and molecular physiology	100901229	Am. J. Physiol. Lung Cell Mol. Physiol.	1040-0605
9642	American journal of physiology. Renal physiology	100901990	Am. J. Physiol. Renal Physiol.	1931-857X
9643	New Zealand journal of zoology	0425750	N.Z. J. Zool.	0301-4223
9644	Nematology : international journal of fundamental and applied nematological research	100890591	Nematology	1388-5545
9645	Bird conservation international	100961516	Bird Conserv. Int.	0959-2709
9646	Advances in botanical research	0000266	Adv. Bot. Res.	0065-2296
9647	Amphibia-reptilia : publication of the Societas Europaea Herpetologica	100961517	Amphib-reptil.	0173-5373
9648	Holzforschung	100961709	Holzforschung	0018-3830
9649	Health & place	9510067	Health Place	1353-8292
9650	Nong ye sheng wu ji shu xue bao = Journal of agricultural biotechnology	100961520	Nong Ye Sheng Wu Ji Shu Xue Bao	1006-1304
9651	Drug discovery today	9604391	Drug Discov. Today	1359-6446
9652	Bibliotheca lichenologica	100961725	Bibl. Lichenol.	1436-1698
9653	Journal of cardiovascular pharmacology and therapeutics	9602617	J. Cardiovasc. Pharmacol. Ther.	1074-2484
9654	Journal of the Minnesota Academy of Science	7503086	J. Minn. Acad. Sci.	0026-539X
9655	Zhongguo gong gong wei sheng = China public health	9887520	Zhongguo Gong Gong Wei Sheng	1001-0580
9656	Genetics and molecular biology	100883590	Genet. Mol. Biol.	1415-4757
9657	Han'guk Nonghwa Hakhoe chi	100961728	Hangug Nonghwahag Hoeji	0368-2897
9658	European journal of pain (London, England)	9801774	Eur J Pain	1090-3801
9659	Edinburgh journal of botany / the Royal Botanic Garden, Edinburgh	100961526	Edinb. J. Bot.	0960-4286
9660	Evolutionary ecology research	100961530	Evol. Ecol. Res.	1522-0613
9661	Neuro-oncology	100887420	Neuro-oncology	1522-8517
9662	Journal of Nippon Medical School = Nippon Ika Daigaku zasshi	100935589	J Nippon Med Sch	1345-4676
9663	Diabete & metabolisme	7604157	Diabete Metab	0338-1684
9664	Neoplasia (New York, N.Y.)	100886622	Neoplasia	1522-8002
9665	Bailliere's best practice & research. Clinical obstetrics & gynaecology	100890322	Baillieres Best Pract Res Clin Obstet Gynaecol	XXXX-XXXX
9666	European journal of medicinal chemistry	0420510	Eur J Med Chem	0223-5234
9667	Mertensiella	100961733	Mertensiella	0934-6643
9668	Sante publique (Vandoeuvre-les-Nancy, France)	9216153	Sante Publique	0995-3914
9669	Water environment research : a research publication of the Water Environment Federation	9886167	Water Environ. Res.	1061-4303
9670	JAAPA : official journal of the American Academy of Physician Assistants	9513102	JAAPA	1547-1896
9671	Sleep medicine	100898759	Sleep Med.	1389-9457
9672	Cancer biotherapy & radiopharmaceuticals	9605408	Cancer Biother. Radiopharm.	1084-9785
9673	Cancer control : journal of the Moffitt Cancer Center	9438457	Cancer Control	1073-2748
9674	Journal of plankton research	9882936	J. Plankton Res.	0142-7873
9675	Clinical allergy and immunology	9431211	Clin Allergy Immunol	1075-7910
9676	Clinical laboratory	9705611	Clin. Lab.	1433-6510
9677	Developmental neuropsychology	8702038	Dev Neuropsychol	8756-5641
9678	Drug delivery	9417471	Drug Deliv	1071-7544
9679	Dyslexia (Chichester, England)	9511375	Dyslexia	1076-9242
9680	Health care management science	9815649	Health Care Manag Sci	1386-9620
9681	Journal of combinatorial chemistry	100886263	J Comb Chem	1520-4766
9682	The Israel Medical Association journal : IMAJ	100930740	Isr. Med. Assoc. J.	1565-1088
9683	Italian heart journal : official journal of the Italian Federation of Cardiology	100909716	Ital Heart J	1129-471X
9684	Journal of family psychology : JFP : journal of the Division of Family Psychology of the American Psychological Association (Division 43)	8802265	J Fam Psychol	0893-3200
9685	The journal of gene medicine	9815764	J Gene Med	1099-498X
9686	The journal of nutrition, health & aging	100893366	J Nutr Health Aging	1279-7707
9687	Review of palaeobotany and palynology	100961734	Rev. Palaeobot. Palynol.	0034-6667
9688	Nefrologia : publicacion oficial de la Sociedad Espanola Nefrologia	8301215	Nefrologia	0211-6995
9689	Organic letters	100890393	Org. Lett.	1523-7060
9690	Psychological assessment	8915253	Psychol Assess	1040-3590
9691	Psychology of addictive behaviors : journal of the Society of Psychologists in Addictive Behaviors	8802734	Psychol Addict Behav	0893-164X
